Received,1,20207
Received,2,30
Received,4,2
Sent,1,19973
Sent,2,10
Received,8,58
Received,16,1
Received,32,1
Received,64,1
Sent,4,6
Sent,8,10
Sent,16,2
Received,128,25
Received,256,1
Sent,32,4
Sent,64,10
Sent,128,12
Received,512,68
Received,1024,1
Sent,256,11
Sent,512,10
Sent,1024,8
Received,2048,82
Received,4096,1
Sent,2048,24
Sent,4096,11
Sent,8192,13
Received,8192,113
Sent,16384,23
Sent,32768,54
Received,16384,212
Received,32768,246
Sent,65536,678
Received,65536,773
Sent,131072,1027
Received,131072,1270
Sent,262144,1870
Received,262144,2390
Sent,524288,3897
Received,524288,4625
Sent,1048576,6080
Received,1048576,9063
Sent,2097152,16145
Received,2097152,17987
