Op,Size,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,TimeAvg
Received,1,20211,20210,20213,20218,20215,20214,20207,20210,20213,20217,20212.8
Received,2,24,29,25,20,22,26,29,33,21,21,25
Received,4,3,2,2,2,7,2,2,2,2,2,2.6
Received,8,58,39,60,96,53,56,57,51,81,60,61.1
Received,16,1,1,1,9,1,1,1,1,1,1,1.8
Received,32,56,108,1,1,1,0,9,56,1,0,23.3
Received,64,0,1,1,1,13,0,1,0,0,1,1.8
Received,128,2,1,69,1,14,28,13,1,1,47,17.7
Received,256,1,0,3,52,1,5,1,81,9,2,15.5
Received,512,87,1,14,1,50,62,76,1,202,17,51.1
Received,1024,1,85,1,1,1,1,1,1,2,1,9.5
Received,2048,1,1,100,25,34,133,156,1,0,32,48.3
Received,4096,137,158,2,161,57,2,1,145,1,76,74
Received,8192,2,2,127,2,188,84,15,2,2,144,56.8
Received,16384,192,168,79,180,108,226,205,207,159,159,168.3
Received,32768,193,216,256,237,197,170,184,168,220,180,202.1
Received,65536,729,728,725,738,726,738,723,745,722,741,731.5
Received,131072,1277,1270,1267,1285,1262,1277,1278,1265,1277,1282,1274
Received,262144,2396,2386,2398,2405,2398,2386,2393,2398,2392,2398,2395
Received,524288,4629,4615,4624,4630,4627,4622,4618,4630,4621,4623,4623.9
Received,1048576,9085,9086,9064,9086,9071,9074,9078,9079,9079,9075,9077.7
Received,2097152,17999,18013,17994,17994,17991,18000,17987,18003,17994,17986,17996.1
Send,1,19992,19979,19914,19950,19949,19957,20121,20012,19979,20011,19986.4
Send,2,10,10,10,10,9,10,10,9,9,9,9.6
Send,4,6,7,7,7,6,6,7,7,7,7,6.7
Send,8,10,9,9,10,10,9,9,10,9,9,9.4
Send,16,2,3,3,3,3,3,3,12,3,3,3.8
Send,32,5,6,5,2,4,5,4,8,17,20,7.6
Send,64,22,19,22,33,10,10,10,3,10,22,16.1
Send,128,9,9,9,13,10,10,10,11,12,10,10.3
Send,256,12,9,13,9,12,10,13,7,10,12,10.7
Send,512,9,9,10,11,10,10,10,3,10,9,9.1
Send,1024,40,8,8,19,8,8,38,27,3,10,16.9
Send,2048,10,14,7,23,11,23,7,11,27,11,14.4
Send,4096,13,11,14,25,28,12,26,11,11,15,16.6
Send,8192,15,12,51,20,13,12,22,12,12,13,18.2
Send,16384,29,32,28,35,37,58,46,30,30,35,36
Send,32768,26,57,32,37,25,31,33,24,36,25,32.6
Send,65536,608,636,620,672,638,664,660,631,652,612,639.3
Send,131072,756,746,734,756,739,759,742,760,740,748,748
Send,262144,1338,1615,1329,1348,1610,1334,1319,1331,1331,1343,1389.8
Send,524288,3194,3104,2529,3339,3084,3344,3389,3239,3404,3183,3180.9
Send,1048576,7312,8116,8223,8223,8112,7300,8116,8035,7313,6822,7757.2
Send,2097152,13212,14568,13162,14113,14022,13208,13953,17961,13060,16227,14348.6
