Received,1,20217
Received,2,21
Received,4,2
Sent,1,20011
Sent,2,9
Received,8,60
Received,16,1
Received,32,0
Received,64,1
Received,128,47
Sent,4,7
Sent,8,9
Sent,16,3
Sent,32,20
Received,256,2
Received,512,17
Received,1024,1
Sent,64,22
Sent,128,10
Sent,256,12
Received,2048,32
Sent,512,9
Sent,1024,10
Received,4096,76
Sent,2048,11
Sent,4096,15
Sent,8192,13
Received,8192,144
Sent,16384,35
Sent,32768,25
Received,16384,159
Received,32768,180
Sent,65536,612
Received,65536,741
Sent,131072,748
Received,131072,1282
Sent,262144,1343
Received,262144,2398
Sent,524288,3183
Received,524288,4623
Sent,1048576,6822
Received,1048576,9075
Sent,2097152,16227
Received,2097152,17986
